title,title_note,id,variable_name
ST,State Code,30,Montana/MT
ST,State Code,31,Nebraska/NE
ST,State Code,32,Nevada/NV
ST,State Code,33,New Hampshire/NH
ST,State Code,34,New Jersey/NJ
ST,State Code,35,New Mexico/NM
ST,State Code,36,New York/NY
ST,State Code,37,North Carolina/NC
ST,State Code,38,North Dakota/ND
ST,State Code,39,Ohio/OH
ST,State Code,40,Oklahoma/OK
ST,State Code,41,Oregon/OR
ST,State Code,42,Pennsylvania/PA
ST,State Code,44,Rhode Island/RI
ST,State Code,45,South Carolina/SC
ST,State Code,46,South Dakota/SD
ST,State Code,47,Tennessee/TN
ST,State Code,48,Texas/TX
ST,State Code,49,Utah/UT
ST,State Code,50,Vermont/VT
ST,State Code,51,Virginia/VA
ST,State Code,53,Washington/WA
ST,State Code,54,West Virginia/WV
ST,State Code,55,Wisconsin/WI
ST,State Code,56,Wyoming/WY
ST,State Code,72,Puerto Rico/PR
ADJHSG,Adjustment factor for housing dollar amounts (6 implied decimal places),1053874,2011 factor
ADJHSG,Adjustment factor for housing dollar amounts (6 implied decimal places),1032315,2012 factor
ADJHSG,Adjustment factor for housing dollar amounts (6 implied decimal places),1017534,2013 factor
ADJHSG,Adjustment factor for housing dollar amounts (6 implied decimal places),1001150,2014 factor
ADJHSG,Adjustment factor for housing dollar amounts (6 implied decimal places),1000000,2015 factor
ADJINC,Adjustment factor for income and earnings dollar amounts (6 implied decimal places),1073094,2011 factor (1.018237 * 1.05387409)
ADJINC,Adjustment factor for income and earnings dollar amounts (6 implied decimal places),1042852,2012 factor (1.010207 * 1.03231545)
ADJINC,Adjustment factor for income and earnings dollar amounts (6 implied decimal places),1025215,2013 factor (1.007549 * 1.01753361)
ADJINC,Adjustment factor for income and earnings dollar amounts (6 implied decimal places),1009585,2014 factor (1.008425 * 1.00115009)
ADJINC,Adjustment factor for income and earnings dollar amounts (6 implied decimal places),1001264,2015 factor (1.001264 * 1.00000000)
WGTP,Housing Weight,00000,Group Quarter placeholder record
WGTP,Housing Weight,00001..09999,Integer weight of housing unit
NP,Number of person records following this housing record,00,Vacant unit
NP,Number of person records following this housing record,01,One person record (one person in household or any person in group quarters)
NP,Number of person records following this housing record,02..20,Number of person records (number of persons in household)
TYPE,Type of unit,1,Housing unit
TYPE,Type of unit,2,Institutional group quarters
TYPE,Type of unit,3,Noninstitutional group quarters
ACR,Lot size,b,N/A (GQ/not a one-family house or mobile home)
ACR,Lot size,1,House on less than one acre
ACR,Lot size,2,House on one to less than ten acres
ACR,Lot size,3,House on ten or more acres
AGS,Sales of Agriculture Products (Yearly sales),b,N/A (GQ/vacant/not a one-family house or mobile home/less than 1 acre)
AGS,Sales of Agriculture Products (Yearly sales),1,None
AGS,Sales of Agriculture Products (Yearly sales),2,$	1 - $ 999
AGS,Sales of Agriculture Products (Yearly sales),3,$ 1000 - $ 2499
AGS,Sales of Agriculture Products (Yearly sales),4,$ 2500 - $ 4999
AGS,Sales of Agriculture Products (Yearly sales),5,$ 5000 - $ 9999
AGS,Sales of Agriculture Products (Yearly sales),6,$ 10000+
BATH,Bathtub or shower,b,N/A (GQ)
BATH,Bathtub or shower,1,Yes
BATH,Bathtub or shower,2,No
BDSP,Number of bedrooms,bb,N/A (GQ)
BDSP,Number of bedrooms,00..99,0 to 99 bedrooms (Top-coded)
BLD,Units in structure,bb,N/A (GQ)
BLD,Units in structure,01,Mobile home or trailer
BLD,Units in structure,02,One-family house detached
BLD,Units in structure,03,One-family house attached
BLD,Units in structure,04,2 Apartments
BLD,Units in structure,05,3-4 Apartments
BLD,Units in structure,06,5-9 Apartments
BLD,Units in structure,07,10-19 Apartments
BLD,Units in structure,08,20-49 Apartments
BLD,Units in structure,09,50 or more apartments
BLD,Units in structure,10,"Boat, RV, van, etc."
BUS,Business or medical office on property,b,N/A (GQ/not a one-family house or mobile home)
BUS,Business or medical office on property,1,Yes
BUS,Business or medical office on property,2,No
CONP,Condo fee (monthly amount),bbbb,"N/A (GQ/vacant units, except ""for-sale-only"" and ""sold, not occupied""/not owned or being bought)"
CONP,Condo fee (monthly amount),0000,Not condo
CONP,Condo fee (monthly amount),0001..9999,$1 - $9999 (Rounded and top-coded)
ELEP,Electricity (monthly cost),bbb,N/A (GQ/vacant)
ELEP,Electricity (monthly cost),001,Included in rent or in condo fee
ELEP,Electricity (monthly cost),002,No charge or electricity not used
ELEP,Electricity (monthly cost),003..999,$3 to $999 (Rounded and top-coded)
FS,Yearly food stamp/Supplemental Nutrition Assistance Program recipiency,b,N/A (vacant)
FS,Yearly food stamp/Supplemental Nutrition Assistance Program recipiency,1,Yes
FS,Yearly food stamp/Supplemental Nutrition Assistance Program recipiency,2,No
FULP,Fuel cost(yearly cost for fuels other than gas and electricity) ,bbbb,N/A (GQ/vacant)
FULP,Fuel cost(yearly cost for fuels other than gas and electricity) ,0001,Included in rent or in condo fee
FULP,Fuel cost(yearly cost for fuels other than gas and electricity) ,0002,No charge or these fuels not used
FULP,Fuel cost(yearly cost for fuels other than gas and electricity) ,0003..9999,$3 to $9999 (Rounded and top-coded)
GASP,Gas (monthly cost),bbb,N/A (GQ/vacant)
GASP,Gas (monthly cost),001,Included in rent or in condo fee
GASP,Gas (monthly cost),002,Included in electricity payment
GASP,Gas (monthly cost),003,No charge or gas not used
GASP,Gas (monthly cost),004..999,$4 to $999 (Rounded and top-coded)
HFL,House heating fuel,b,N/A (GQ/vacant)
HFL,House heating fuel,1,Utility gas
HFL,House heating fuel,2,"Bottled, tank, or LP gas"
HFL,House heating fuel,3,Electricity
HFL,House heating fuel,4,"Fuel oil, kerosene, etc."
HFL,House heating fuel,5,Coal or coke
HFL,House heating fuel,6,Wood
HFL,House heating fuel,7,Solar energy
HFL,House heating fuel,8,Other fuel
HFL,House heating fuel,9,No fuel used
INSP,Fire/hazard/flood insurance (yearly amount),bbbbb,N/A (GQ/vacant/not owned or being bought)
INSP,Fire/hazard/flood insurance (yearly amount),00000,None
INSP,Fire/hazard/flood insurance (yearly amount),00001..10000,$1 to $10000 (Rounded and top-coded)
MHP,Mobile home costs (yearly amount),bbbbb,N/A (GQ/vacant/not owned or being bought/not mobile home)
MHP,Mobile home costs (yearly amount),00000,None
MRGI,First mortgage payment includes fire/hazard/flood insurance,b,N/A (GQ/vacant/not owned or being bought/not mortgaged)
MRGI,First mortgage payment includes fire/hazard/flood insurance,1,"Yes, insurance included in payment"
MRGI,First mortgage payment includes fire/hazard/flood insurance,2,"No, insurance paid separately or no insurance"
MRGP,First mortgage payment (monthly amount),bbbbb,N/A (GQ/vacant/not owned or being bought/not mortgaged)
MRGP,First mortgage payment (monthly amount),00001..99999,$1 to $99999 (Rounded and top-coded)
MRGT,First mortgage payment includes real estate taxes,b,N/A (GQ/vacant/not owned or being bought/not mortgaged)
MRGT,First mortgage payment includes real estate taxes,1,"Yes, taxes included in payment"
MRGT,First mortgage payment includes real estate taxes,2,"No, taxes paid separately or taxes not required"
MRGX,First mortgage status,b,N/A (GQ/vacant/not owned or being bought)
MRGX,First mortgage status,1,"Mortgage, deed of trust, or similar debt"
MRGX,First mortgage status,2,Contract to purchase
MRGX,First mortgage status,3,None
REFR,Refrigerator,b,N/A (GQ)
REFR,Refrigerator,1,Yes
REFR,Refrigerator,2,No
RMSP,Number of Rooms,bb,N/A (GQ)
RMSP,Number of Rooms,00..99,Rooms (Top-coded)
RNTM,Meals included in rent,b,"N/A (GQ/vacant units, except ""for rent"" and ""rented, not occupied""/owned or being bought/occupied without rent payment)"
RNTM,Meals included in rent,1,Yes
RNTM,Meals included in rent,2,No
RNTP,Monthly rent,bbbbb,"N/A (GQ/vacant units, except ""for rent"" and ""rented, not occupied""/owned or being bought/occupied without rent payment)"
RNTP,Monthly rent,00001..99999,$1 to $99999 (Rounded and top-coded)
RWAT,Hot and cold running water,b,N/A (GQ)
RWAT,Hot and cold running water,1,Yes
RWAT,Hot and cold running water,2,No
RWAT,Hot and cold running water,9,"Case is from Puerto Rico in 2013 or later, RWAT not applicable"
RWATPR,Running water,b,N/A (GQ)
RWATPR,Running water,1,Yes
RWATPR,Running water,2,No
RWATPR,Running water,9,"Case is from the United States or from Puerto Rico prior to 2013, RWATPR not applicable"
SINK,Sink with a faucet,b,N/A (GQ)
SINK,Sink with a faucet,1,Yes
SINK,Sink with a faucet,2,No
SMP,Total payment on all second and junior mortgages and home equity loans (monthly amount),bbbbb,N/A (GQ/vacant/not owned or being bought/no second or junior mortgages or home equity loans)
SMP,Total payment on all second and junior mortgages and home equity loans (monthly amount),00001..99999,$1 to $99999 (Rounded and top-coded)
STOV,Stove or range,b,N/A (GQ)
STOV,Stove or range,1,Yes
STOV,Stove or range,2,No
TEL,Telephone,b,N/A (GQ/vacant)
TEL,Telephone,1,Yes
TEL,Telephone,2,No
TEL,Telephone,8,Suppressed for data year 2012 and 2015 for selected PUMAs
TEN,Tenure,b,N/A (GQ/vacant)
TEN,Tenure,1,Owned with mortgage or loan (include home equity loans)
TEN,Tenure,2,Owned free and clear
TEN,Tenure,3,Rented
TEN,Tenure,4,Occupied without payment of rent
TOIL,Flush toilet,b,N/A (GQ)
TOIL,Flush toilet,1,Yes
TOIL,Flush toilet,2,No
VACS,Vacancy status,b,N/A (GQ/occupied)
VACS,Vacancy status,1,For rent
VACS,Vacancy status,2,"Rented, not occupied"
VACS,Vacancy status,3,For sale only
VACS,Vacancy status,4,"Sold, not occupied"
VACS,Vacancy status,5,For seasonal/recreational/occasional use
VACS,Vacancy status,6,For migrant workers
VACS,Vacancy status,7,Other vacant
VALP,Property value,bbbbbbb,"N/A (GQ/vacant units, except ""for-sale-only"" and ""sold, not occupied""/not owned or being bought)"
VALP,Property value,0000001..9999999,$1 to $9999999 (Rounded and top-coded)
VEH,Vehicles (1 ton or less) available,b,N/A (GQ/vacant)
VEH,Vehicles (1 ton or less) available,0,No vehicles
VEH,Vehicles (1 ton or less) available,1,1 vehicle
VEH,Vehicles (1 ton or less) available,2,2 vehicles
VEH,Vehicles (1 ton or less) available,3,3 vehicles
VEH,Vehicles (1 ton or less) available,4,4 vehicles
VEH,Vehicles (1 ton or less) available,5,5 vehicles
VEH,Vehicles (1 ton or less) available,6,6 or more vehicles
WATP,Water (yearly cost),bbbb,N/A (GQ/vacant)
WATP,Water (yearly cost),0001,Included in rent or in condo fee
WATP,Water (yearly cost),0002,No charge
WATP,Water (yearly cost),0003..9999,$3 to $9999 (Rounded and top-coded)
YBL,When structure first built,bb,N/A (GQ)
YBL,When structure first built,01,1939 or earlier
YBL,When structure first built,02,1940 to 1949
YBL,When structure first built,03,1950 to 1959
YBL,When structure first built,04,1960 to 1969
YBL,When structure first built,05,1970 to 1979
YBL,When structure first built,06,1980 to 1989
YBL,When structure first built,07,1990 to 1999
YBL,When structure first built,08,2000 to 2004
YBL,When structure first built,09,2005
YBL,When structure first built,10,2006
YBL,When structure first built,11,2007
YBL,When structure first built,12,2008
YBL,When structure first built,13,2009
YBL,When structure first built,14,2010
YBL,When structure first built,15,2011
YBL,When structure first built,16,2012
YBL,When structure first built,17,2013
YBL,When structure first built,18,2014
YBL,When structure first built,19,2015
FES,Family type and employment status	,b,N/A (GQ/vacant/not a family/same-sex married-couple families)
FES,Family type and employment status	,1,Married-couple family: Husband and wife in LF
FES,Family type and employment status	,2,"Married-couple family: Husband in labor force, wife not in LF"
FES,Family type and employment status	,3,"Married-couple family: Husband not in LF,wife in LF"
FES,Family type and employment status	,4,Married-couple family: Neither husband nor wife in LF
FES,Family type and employment status	,5,"Other family: Male householder, no wife present, in LF"
FES,Family type and employment status	,6,"Other family: Male householder, no wife present, not in LF"
FES,Family type and employment status	,7,"Other family: Female householder, no husband present, in LF"
FES,Family type and employment status	,8,"Other family: Female householder, no husband	present, not in LF"
FINCP,Family income (past 12 months),bbbbbbbb,N/A (GQ/vacant)
FINCP,Family income (past 12 months),00000000,No family income
FINCP,Family income (past 12 months),-0059999,"Loss of $59,999 or more"
FINCP,Family income (past 12 months),-0059998..-0000001,"Loss of $1 to $59,998"
FINCP,Family income (past 12 months),00000001,$1 or Break even
FINCP,Family income (past 12 months),00000002..99999999,Total family income in dollars (Components are rounded)
FPARC,Family presence and age of related children,b,N/A (GQ/vacant/not a family)
FPARC,Family presence and age of related children,1,With related children under 5 years only
FPARC,Family presence and age of related children,2,With related children 5 to 17 years only
FPARC,Family presence and age of related children,3,With related children under 5 years and 5 to 17 years
FPARC,Family presence and age of related children,4,No related children
GRNTP,Gross rent (monthly amount),bbbbb,N/A (GQ/vacant/owned or being bought/occupied without rent payment)
GRNTP,Gross rent (monthly amount),00001..99999,$1 - $99999 (Components are rounded)
GRPIP,Gross rent as a percentage of household income past 12 months	,bbb,N/A (GQ/vacant/owned or being bought/occupied without rent payment/no household income)
GRPIP,Gross rent as a percentage of household income past 12 months	,001..100,1% to 100%
GRPIP,Gross rent as a percentage of household income past 12 months	,101,101% or more
HHL,Household language,b,N/A (GQ/vacant)
HHL,Household language,1,English only
HHL,Household language,2,Spanish
HHL,Household language,3,Other Indo-European languages
HHL,Household language,4,Asian and Pacific Island languages
HHL,Household language,5,Other language
HHT,Household/family type,b,N/A (GQ/vacant)
HHT,Household/family type,1,Married couple household
HHT,Household/family type,2,"Other family household:Male householder, no wife present"
HHT,Household/family type,3,"Other family household:Female householder, no husband present "
HHT,Household/family type,4,Nonfamily household:Male householder:Living alone
HHT,Household/family type,5,Nonfamily household:Male householder:Not living alone
HHT,Household/family type,6,Nonfamily household:Female householder:Living alone
HHT,Household/family type,7,Nonfamily household:Female householder:Not living alone
HINCP,Household income (past 12 months),bbbbbbbb,N/A(GQ/vacant)
HINCP,Household income (past 12 months),00000000,No household income
HINCP,Household income (past 12 months),-0059999,"Loss of $59,999 or more"
HINCP,Household income (past 12 months),-0059998..-0000001,"Loss of $1 to $59,998"
HINCP,Household income (past 12 months),00000001,$1 or Break even
HINCP,Household income (past 12 months),00000002..99999999,Total household income in dollars (Components are rounded)
HUGCL,Household with grandparent living with grandchildren,b,N/A (GQ/vacant)
HUGCL,Household with grandparent living with grandchildren,0,Household without grandparent living with grandchildren
HUGCL,Household with grandparent living with grandchildren,1,Household with grandparent living with grandchildren
HUPAC,HH presence and age of children,b,N/A (GQ/vacant)
HUPAC,HH presence and age of children,1,With children under 6 years only
HUPAC,HH presence and age of children,2,With children 6 to 17 years only
HUPAC,HH presence and age of children,3,With children under 6 years and 6 to 17 years
HUPAC,HH presence and age of children,4,No children
HUPAOC,HH presence and age of own children,b,N/A (GQ/vacant)
HUPAOC,HH presence and age of own children,1,Presence of own children under 6 years only
HUPAOC,HH presence and age of own children,2,Presence of own children 6 to 17 years only
HUPAOC,HH presence and age of own children,3,Presence of own children under 6 years and 6 to 17 years
HUPAOC,HH presence and age of own children,4,No own children present
HUPARC,HH presence and age of related children,b,N/A (GQ/vacant)
HUPARC,HH presence and age of related children,1,Presence of related children under 6 years only
HUPARC,HH presence and age of related children,2,Presence of related children 6 to 17 years only
HUPARC,HH presence and age of related children,3,Presence of related children under 6 years and 6 to 17 years
HUPARC,HH presence and age of related children,4,No related children present
KIT,Complete kitchen facilities,b,N/A (GQ)
KIT,Complete kitchen facilities,1,"Yes, has stove or range, refrigerator, and sink with a faucet"
KIT,Complete kitchen facilities,2,No
LNGI,Limited English speaking household,b,N/A (GQ/vacant)
LNGI,Limited English speaking household,1,At least one person in the household 14 and over speaks English only or speaks English 'very well'
LNGI,Limited English speaking household,2,No one in the household 14 and over speaks English only or speaks English 'very well'
MULTG,Multigenerational Household,b,N/A (GQ/Vacant/NP=0)
MULTG,Multigenerational Household,1,"No, not a multigenerational household"
MULTG,Multigenerational Household,2,"Yes, is a multigenerational household"
MV,When moved into this house or apartment,b,N/A (GQ/vacant)
MV,When moved into this house or apartment,1,12 months or less
MV,When moved into this house or apartment,2,13 to 23 months
MV,When moved into this house or apartment,3,2 to 4 years
MV,When moved into this house or apartment,4,5 to 9 years
MV,When moved into this house or apartment,5,10 to 19 years
MV,When moved into this house or apartment,6,20 to 29 years
MV,When moved into this house or apartment,7,30 years or more
NOC,Number of own children in household (unweighted),bb,N/A(GQ/vacant)
NOC,Number of own children in household (unweighted),00,No own children
NOC,Number of own children in household (unweighted),01..19,Number of own children in household
NPF,Number of persons in family (unweighted),bb,N/A (GQ/vacant/non-family household)
NPF,Number of persons in family (unweighted),02..20,Number of persons in family
NPP,Grandparent headed household with no parent present,b,N/A (GQ/vacant)
NPP,Grandparent headed household with no parent present,0,Not a grandparent headed household with no parent present
NPP,Grandparent headed household with no parent present,1,Grandparent headed household with no parent present
NR,Presence of nonrelative in household,b,N/A (GQ/vacant)
NR,Presence of nonrelative in household,0,None
NR,Presence of nonrelative in household,1,1 or more nonrelatives
NRC,Number of related children in household (unweighted),bb,N/A (GQ/vacant)
NRC,Number of related children in household (unweighted),00,No related children
NRC,Number of related children in household (unweighted),01..19,Number of related children in household
OCPIP,Selected monthly owner costs as a percentage of household ,bbb,N/A (GQ/vacant/not owned or being bought/no household income)
OCPIP,Selected monthly owner costs as a percentage of household ,001..100,1% to 100%
OCPIP,Selected monthly owner costs as a percentage of household ,101,101% or more
PARTNER,Unmarried partner household,b,N/A (GQ/vacant)
PARTNER,Unmarried partner household,0,No unmarried partner in household
PARTNER,Unmarried partner household,1,"Male householder, male partner"
PARTNER,Unmarried partner household,2,"Male householder, female partner"
PARTNER,Unmarried partner household,3,"Female householder, female partner"
PARTNER,Unmarried partner household,4,"Female householder, male partner"
PLM,Complete plumbing facilities,b,N/A (GQ)
PLM,Complete plumbing facilities,1,"Yes, has hot and cold running water, a flush toilet, and a bathtub or shower"
PLM,Complete plumbing facilities,2,No
PLM,Complete plumbing facilities,9,"Case is from Puerto Rico in 2012 or later, PLM recode not applicable"
PSF,Presence of subfamilies in Household,b,N/A (GQ/vacant)
PSF,Presence of subfamilies in Household,0,No subfamilies
PSF,Presence of subfamilies in Household,1,1 or more subfamilies
R18,Presence of persons under 18 years in household (unweighted),b,N/A (GQ/vacant)
R18,Presence of persons under 18 years in household (unweighted),0,No person under 18 in household
R18,Presence of persons under 18 years in household (unweighted),1,1 or more persons under 18 in household
R60,Presence of persons 60 years and over in household (unweighted),b,N/A (GQ/vacant)
R60,Presence of persons 60 years and over in household (unweighted),0,No person 60 and over
R60,Presence of persons 60 years and over in household (unweighted),1,1 person 60 and over
R60,Presence of persons 60 years and over in household (unweighted),2,2 or more persons 60 and over
R65,Presence of persons 65 years and over in household (unweighted),b,N/A (GQ/vacant)
R65,Presence of persons 65 years and over in household (unweighted),0,No person 65 and over
R65,Presence of persons 65 years and over in household (unweighted),1,1 person 65 and over
R65,Presence of persons 65 years and over in household (unweighted),2,2 or more persons 65 and over
RESMODE,Response mode,b,N/A (GQ)
RESMODE,Response mode,1,Mail
RESMODE,Response mode,2,CATI/CAPI
RESMODE,Response mode,3,Internet
SMOCP,Selected monthly owner costs,bbbbb,N/A (GQ/vacant/not owned or being bought)
SMOCP,Selected monthly owner costs,00000,None
SMOCP,Selected monthly owner costs,00001..99999,$1 - $99999 (Components are rounded)
SMX,Second or junior mortgage or home equity loan status,b,N/A (GQ/vacant/not owned or being bought)
SMX,Second or junior mortgage or home equity loan status,1,"Yes, a second mortgage"
SMX,Second or junior mortgage or home equity loan status,2,"Yes, a home equity loan"
SMX,Second or junior mortgage or home equity loan status,3,No
SMX,Second or junior mortgage or home equity loan status,4,Both a second mortgage and a home equity loan
SRNT,Specified rent unit,b,N/A
SRNT,Specified rent unit,0,Not specified rent unit
SRNT,Specified rent unit,1,Specified rent unit
SVAL,Specified value owner unit,b,N/A
SVAL,Specified value owner unit,0,Not specified value owner unit
SVAL,Specified value owner unit,1,Specified value owner unit
TAXP,Property taxes (yearly amount),bb,N/A (GQ/vacant/not owned or being bought)
TAXP,Property taxes (yearly amount),01,None
TAXP,Property taxes (yearly amount),02,$	1 - $ 49
TAXP,Property taxes (yearly amount),03,$ 50 - $ 99
TAXP,Property taxes (yearly amount),04,$ 100 - $ 149
TAXP,Property taxes (yearly amount),05,$ 150 - $ 199
TAXP,Property taxes (yearly amount),06,$ 200 - $ 249
TAXP,Property taxes (yearly amount),07,$ 250 - $ 299
TAXP,Property taxes (yearly amount),08,$ 300 - $ 349
TAXP,Property taxes (yearly amount),09,$ 350 - $ 399
TAXP,Property taxes (yearly amount),10,$ 400 - $ 449
TAXP,Property taxes (yearly amount),11,$ 450 - $ 499
TAXP,Property taxes (yearly amount),12,$ 500 - $ 549
TAXP,Property taxes (yearly amount),13,$ 550 - $ 599
TAXP,Property taxes (yearly amount),14,$ 600 - $ 649
TAXP,Property taxes (yearly amount),15,$ 650 - $ 699
TAXP,Property taxes (yearly amount),16,$ 700 - $ 749
TAXP,Property taxes (yearly amount),17,$ 750 - $ 799
TAXP,Property taxes (yearly amount),18,$ 800 - $ 849
TAXP,Property taxes (yearly amount),19,$ 850 - $ 899
TAXP,Property taxes (yearly amount),20,$ 900 - $ 949
TAXP,Property taxes (yearly amount),21,$ 950 - $ 999
TAXP,Property taxes (yearly amount),22,$1000 - $1099
TAXP,Property taxes (yearly amount),23,$1100 - $1199
TAXP,Property taxes (yearly amount),24,$1200 - $1299
TAXP,Property taxes (yearly amount),25,$1300 - $1399
TAXP,Property taxes (yearly amount),26,$1400 - $1499
TAXP,Property taxes (yearly amount),27,$1500 - $1599
TAXP,Property taxes (yearly amount),28,$1600 - $1699
TAXP,Property taxes (yearly amount),29,$1700 - $1799
TAXP,Property taxes (yearly amount),30,$1800 - $1899
TAXP,Property taxes (yearly amount),31,$1900 - $1999
TAXP,Property taxes (yearly amount),32,$2000 - $2099
TAXP,Property taxes (yearly amount),33,$2100 - $2199
TAXP,Property taxes (yearly amount),34,$2200 - $2299
TAXP,Property taxes (yearly amount),35,$2300 - $2399
TAXP,Property taxes (yearly amount),36,$2400 - $2499
TAXP,Property taxes (yearly amount),37,$2500 - $2599
TAXP,Property taxes (yearly amount),38,$2600 - $2699
TAXP,Property taxes (yearly amount),39,$2700 - $2799
TAXP,Property taxes (yearly amount),40,$2800 - $2899
TAXP,Property taxes (yearly amount),41,$2900 - $2999
TAXP,Property taxes (yearly amount),42,$3000 - $3099
TAXP,Property taxes (yearly amount),43,$3100 - $3199
TAXP,Property taxes (yearly amount),44,$3200 - $3299
TAXP,Property taxes (yearly amount),45,$3300 - $3399
TAXP,Property taxes (yearly amount),46,$3400 - $3499
TAXP,Property taxes (yearly amount),47,$3500 - $3599
TAXP,Property taxes (yearly amount),48,$3600 - $3699
TAXP,Property taxes (yearly amount),49,$3700 - $3799
TAXP,Property taxes (yearly amount),50,$3800 - $3899
TAXP,Property taxes (yearly amount),51,$3900 - $3999
TAXP,Property taxes (yearly amount),52,$4000 - $4099
TAXP,Property taxes (yearly amount),53,$4100 - $4199
TAXP,Property taxes (yearly amount),54,$4200 - $4299
TAXP,Property taxes (yearly amount),55,$4300 - $4399
TAXP,Property taxes (yearly amount),56,$4400 - $4499
TAXP,Property taxes (yearly amount),57,$4500 - $4599
TAXP,Property taxes (yearly amount),58,$4600 - $4699
TAXP,Property taxes (yearly amount),59,$4700 - $4799
TAXP,Property taxes (yearly amount),60,$4800 - $4899
TAXP,Property taxes (yearly amount),61,$4900 - $4999
TAXP,Property taxes (yearly amount),62,$5000 - $5499
TAXP,Property taxes (yearly amount),63,$5500 - $5999
TAXP,Property taxes (yearly amount),64,$6000 - $6999
TAXP,Property taxes (yearly amount),65,$7000 - $7999
TAXP,Property taxes (yearly amount),66,$8000 - $8999
TAXP,Property taxes (yearly amount),67,$9000 - $9999
TAXP,Property taxes (yearly amount),68,$10000+ (Top-coded)
WIF,Workers in family during the past 12 months,b,N/A (GQ/vacant/non-family household)
WIF,Workers in family during the past 12 months,0,No workers
WIF,Workers in family during the past 12 months,1,1 worker
WIF,Workers in family during the past 12 months,2,2 workers
WIF,Workers in family during the past 12 months,3,3 or more workers in family
WKEXREL,Work experience of householder and spouse,bb,N/A (GQ/vacant/not a family)
WKEXREL,Work experience of householder and spouse,01,Householder and spouse worked FT
WKEXREL,Work experience of householder and spouse,02,Householder worked FT; spouse worked < FT
WKEXREL,Work experience of householder and spouse,03,Householder worked FT; spouse did not work
WKEXREL,Work experience of householder and spouse,04,Householder worked < FT; spouse worked FT
WKEXREL,Work experience of householder and spouse,05,Householder worked < FT; spouse worked < FT
WKEXREL,Work experience of householder and spouse,06,Householder worked < FT; spouse did not work
WKEXREL,Work experience of householder and spouse,07,Householder did not work; spouse worked FT
WKEXREL,Work experience of householder and spouse,08,Householder did not work; spouse worked < FT
WKEXREL,Work experience of householder and spouse,09,Householder did not work; spouse did not work
WKEXREL,Work experience of householder and spouse,10,Male householder worked FT; no spouse present
WKEXREL,Work experience of householder and spouse,11,Male householder worked < FT; no spouse present
WKEXREL,Work experience of householder and spouse,12,Male householder did not work; no spouse present
WKEXREL,Work experience of householder and spouse,13,Female householder worked FT; no spouse present
WKEXREL,Work experience of householder and spouse,14,Female householder worked < FT; no spouse present
WKEXREL,Work experience of householder and spouse,15,Female householder did not work; no spouse present
WORKSTAT,Work status of householder or spouse in family households,bb,N/A (GQ/not a family household/same-sex married-couple families)
WORKSTAT,Work status of householder or spouse in family households,01,"Husband and wife both in labor force, both employed or in Armed Forces"
WORKSTAT,Work status of householder or spouse in family households,02,"Husband and wife both in labor force, husband employed or in Armed Forces, wife unemployed"
WORKSTAT,Work status of householder or spouse in family households,03,"Husband in labor force and wife not in labor force, husband	employed or in Armed Forces "
WORKSTAT,Work status of householder or spouse in family households,04,"Husband and wife both in labor force, husband unemployed, wife.employed or in Armed Forces "
WORKSTAT,Work status of householder or spouse in family households,05,"Husband and wife both in labor force, husband unemployed, wife unemployed"
